1537447955335,48965,x,y,z
22437,905,5,840,336
22457,903,12,833,347
22478,903,12,833,347
22498,919,10,845,360
22518,919,10,845,360
22538,911,15,841,350
22558,918,20,847,352
22578,926,24,856,353
22598,945,25,873,361
22619,949,33,873,370
22639,941,26,863,374
22659,949,17,871,375
22679,953,9,877,373
22699,971,15,892,383
22719,964,23,882,390
22739,946,25,862,388
22759,932,31,852,376
22780,938,19,862,369
22800,938,19,862,369
22820,930,36,850,377
22840,930,36,850,377
22860,916,32,837,371
22880,905,25,830,360
22900,905,25,830,360
22921,898,21,820,365
22941,894,28,813,369
22961,894,28,813,369
22981,905,24,824,372
23001,905,24,824,372
23021,882,34,804,361
23041,869,25,792,356
23062,855,29,781,345
23082,845,29,773,339
23102,829,33,757,336
23122,822,38,747,340
23142,809,35,738,330
23162,816,24,744,334
23182,824,21,752,336
23203,823,29,749,340
23243,823,29,749,340
23263,831,31,755,344
23283,831,31,755,344
23303,844,29,763,358
23364,844,29,763,358
23384,842,36,761,357
23424,842,36,761,357
23444,838,28,756,361
23464,842,36,756,367
23485,842,36,756,367
23505,848,37,763,369
23525,848,37,763,369
23545,858,38,772,370
23565,869,29,782,378
23585,879,35,789,386
23605,879,35,789,386
23626,897,34,803,396
23646,897,34,803,396
